E1,E2,min_frequency,min_frequency_per_sample,bbrc_ds_nr_com,bbrc_ds_nr_f,bbrc_duration,merge_time,n_stripped_mss,n_stripped_cst,min_sampling_support,random_seed
0.30564808220379,0.30564808220379,14,14.0,40.0,2.0,317.125112,8.16378021240234,1409.0,47.0,15.0,1
0.0327307581660138,0.0615458300612758,14,14.0,162.0,5.0,335.419375,8.03148460388184,1271.0,86.0,15.0,2
0.594945855213839,0.594945855213839,14,14.0,167.0,7.0,692.487082,8.05263495445251,1430.0,41.0,15.0,3
0.416052218600843,0.416052218600843,14,14.0,157.0,7.0,580.868834,8.82664275169373,1602.0,51.0,15.0,4
0.0707881917560225,0.0771033533251748,14,14.0,208.0,6.0,661.079705,7.74993467330933,1353.0,46.0,15.0,5
-0.00490683519776602,0.00490683519776602,14,14.0,46.0,2.0,572.932868,7.82227396965027,1267.0,56.0,15.0,6
0.0105455596772478,0.0228082389088533,14,14.0,136.0,4.0,628.128519,8.17186284065247,1500.0,65.0,15.0,7
-0.00628940373668951,0.00628940373668951,14,14.0,40.0,2.0,1212.850505,12.2979843616486,3251.0,37.0,15.0,8
0.0487949883654383,0.075767640689505,14,14.0,75.0,3.0,904.067124,7.0859489440918,1335.0,70.0,15.0,9
-0.01937289803784,0.01937289803784,14,14.0,39.0,2.0,736.471128,6.26313734054565,1091.0,50.0,15.0,10
0.374474730782059,0.374474730782059,14,14.0,112.0,6.0,687.869736,7.75900197029114,1313.0,50.0,15.0,11
0.294606595841955,0.306028343875667,14,14.0,163.0,7.0,966.803007,7.58783769607544,1343.0,42.0,15.0,12
-0.00858940336504305,0.017364008893864,14,14.0,119.0,2.0,1136.380725,7.79500532150269,1510.0,51.0,15.0,13
0.645106379542619,0.645106379542619,14,14.0,67.0,2.0,1147.110135,10.2817568778992,1488.0,64.0,15.0,14
0.362925448114214,0.362925448114214,14,14.0,80.0,3.0,1218.857254,8.15721654891968,1543.0,75.0,15.0,15
0.105133002758204,0.119151169035222,14,14.0,166.0,6.0,957.322087,6.65135455131531,1266.0,59.0,15.0,16
0.250366104182261,0.250366104182261,14,14.0,121.0,4.0,812.777087,7.51703691482544,1490.0,53.0,15.0,17
-0.0115403520500905,0.0115403520500905,14,14.0,45.0,2.0,1035.174886,7.70793008804321,1340.0,74.0,15.0,18
0.593490874717221,0.593490874717221,14,14.0,132.0,3.0,1228.570301,9.07831954956055,1544.0,62.0,15.0,19
0.155287361438032,0.160469001373152,14,14.0,74.0,5.0,1293.949957,7.83200263977051,1304.0,58.0,15.0,20
0.441298571564741,0.441298571564741,14,14.0,139.0,3.0,1147.741947,7.55447912216187,1477.0,46.0,15.0,21
0.020769034414192,0.05636017737202,14,14.0,119.0,5.0,1165.231906,10.5230460166931,1619.0,59.0,15.0,22
0.031675788826931,0.054603738270975,14,14.0,137.0,6.0,940.441471,7.99066734313965,1137.0,41.0,15.0,23
-0.0435373157263865,0.0435373157263865,14,14.0,72.0,2.0,1006.353697,5.93417906761169,967.0,47.0,15.0,24
0.181516082644843,0.20789348804447,14,14.0,154.0,5.0,972.116139,7.28104281425476,1149.0,73.0,15.0,25
