E1,E2,min_frequency,min_frequency_per_sample,bbrc_ds_nr_com,bbrc_ds_nr_f,bbrc_duration,merge_time,n_stripped_mss,n_stripped_cst,min_sampling_support,random_seed
0.290314634146341,0.290343902439024,24,NA,373.0,82.0,2.950445,NA,NA,NA,NA,65
0.0496555555555555,0.0510055555555555,24,NA,350.0,36.0,2.001105,NA,NA,NA,NA,66
0.324337735849057,0.32441320754717,24,NA,331.0,53.0,1.963302,NA,NA,NA,NA,67
0.26348679245283,0.26348679245283,24,NA,325.0,53.0,2.128183,NA,NA,NA,NA,68
0.0174166666666667,0.0299227272727273,24,NA,362.0,66.0,2.45149,NA,NA,NA,NA,69
0.434615384615385,0.434615384615385,24,NA,358.0,65.0,2.054314,NA,NA,NA,NA,70
0.0581472727272727,0.0628781818181818,24,NA,353.0,55.0,2.587435,NA,NA,NA,NA,71
0.118166197183099,0.118847887323944,24,NA,368.0,71.0,2.417153,NA,NA,NA,NA,72
0.112495918367347,0.115655102040816,24,NA,359.0,49.0,2.773193,NA,NA,NA,NA,73
0.137887096774194,0.138103225806452,24,NA,367.0,62.0,2.08976,NA,NA,NA,NA,74
0.0905583333333333,0.0961472222222222,24,NA,350.0,36.0,2.659978,NA,NA,NA,NA,75
0.486951515151515,0.486951515151515,24,NA,373.0,66.0,2.088003,NA,NA,NA,NA,76
0.419466129032258,0.419691935483871,24,NA,368.0,62.0,1.988773,NA,NA,NA,NA,77
0.362626190476191,0.362626190476191,24,NA,354.0,42.0,2.088378,NA,NA,NA,NA,78
0.5219,0.5219,24,NA,375.0,46.0,2.137477,NA,NA,NA,NA,79
0.160428767123288,0.162387671232877,24,NA,371.0,73.0,2.028499,NA,NA,NA,NA,80
0.270251351351351,0.27272972972973,24,NA,372.0,74.0,2.562227,NA,NA,NA,NA,81
0.27984,0.279945,24,NA,351.0,40.0,2.463153,NA,NA,NA,NA,82
0.0454818181818182,0.0482545454545454,24,NA,365.0,44.0,3.342755,NA,NA,NA,NA,83
0.395344262295082,0.395344262295082,24,NA,335.0,61.0,1.955962,NA,NA,NA,NA,84
0.348447435897436,0.348447435897436,24,NA,372.0,78.0,2.023379,NA,NA,NA,NA,85
0.0715127272727273,0.0742981818181818,24,NA,373.0,55.0,2.442434,NA,NA,NA,NA,86
0.298337931034483,0.298337931034483,24,NA,362.0,58.0,2.018373,NA,NA,NA,NA,87
0.313921621621622,0.314008108108108,24,NA,380.0,74.0,2.051139,NA,NA,NA,NA,88
0.243601388888889,0.243993055555556,24,NA,379.0,72.0,2.075091,NA,NA,NA,NA,89
0.172432352941176,0.175894117647059,24,NA,327.0,68.0,2.02836,NA,NA,NA,NA,90
0.403246031746032,0.403246031746032,24,NA,366.0,63.0,2.017562,NA,NA,NA,NA,91
0.109966666666667,0.112109523809524,24,NA,364.0,63.0,2.36669,NA,NA,NA,NA,92
0.32558253968254,0.32574126984127,24,NA,362.0,63.0,2.037447,NA,NA,NA,NA,93
0.342415942028986,0.342415942028986,24,NA,371.0,69.0,2.058783,NA,NA,NA,NA,94
0.0364756097560976,0.0410560975609756,24,NA,319.0,41.0,1.974789,NA,NA,NA,NA,95
0.0130885245901639,0.0184885245901639,24,NA,357.0,61.0,2.323636,NA,NA,NA,NA,96
0.225860784313725,0.226398039215686,24,NA,354.0,51.0,2.380403,NA,NA,NA,NA,97
0.298876315789474,0.298876315789474,24,NA,375.0,76.0,2.387325,NA,NA,NA,NA,98
0.0473375,0.048355,24,NA,377.0,80.0,2.040219,NA,NA,NA,NA,99
0.0223145833333333,0.0262479166666667,24,NA,356.0,48.0,3.493801,NA,NA,NA,NA,100
